Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,temperature,season_points,wet_performance_factor
VER,84.099,29.623,18.375,36.101,30,0,0.5
VER,83.115,28.793,18.573,35.749,30,1,0.5
GAS,84.649,29.905,18.241,36.503,30,0,0.5
GAS,83.851,29.379,18.148,36.324,30,1,0.5
GAS,83.7,29.05,18.116,36.534,30,2,0.5
GAS,84.526,29.693,17.983,36.85,30,3,0.5
GAS,83.912,29.368,18.107,36.437,30,4,0.5
GAS,83.445,29.068,18.122,36.255,30,5,0.5
GAS,83.879,29.38,18.109,36.39,30,6,0.5
GAS,83.829,29.349,18.235,36.245,30,7,0.5
GAS,83.856,29.318,18.15,36.388,30,8,0.5
GAS,85.397,29.402,18.252,37.743,30,9,0.5
GAS,84.625,29.816,18.154,36.655,30,10,0.5
GAS,84.049,29.379,18.093,36.577,30,11,0.5
GAS,84.104,29.43,18.09,36.584,30,12,0.5
GAS,84.1,29.378,18.207,36.515,30,13,0.5
GAS,85.367,29.942,18.256,37.169,30,14,0.5
GAS,117.788,30.269,25.888,61.631,30,15,0.5
GAS,89.888,35.202,18.398,36.288,30,16,0.5
GAS,83.922,29.141,18.401,36.38,30,17,0.5
GAS,83.662,29.06,18.369,36.233,30,18,0.5
GAS,83.241,28.904,18.274,36.063,30,19,0.5
GAS,83.045,28.793,18.236,36.016,30,20,0.5
GAS,82.929,28.898,18.198,35.833,30,21,0.5
GAS,83.001,28.729,18.222,36.05,30,22,0.5
GAS,82.933,28.803,18.241,35.889,30,23,0.5
GAS,83.015,28.851,18.346,35.818,30,24,0.5
GAS,82.904,28.749,18.186,35.969,30,25,0.5
GAS,82.674,28.974,17.953,35.747,30,26,0.5
GAS,82.708,28.988,17.968,35.752,30,27,0.5
GAS,82.99,28.857,17.993,36.14,30,28,0.5
GAS,82.727,28.855,17.99,35.882,30,29,0.5
GAS,83.245,28.996,18.019,36.23,30,30,0.5
GAS,83.215,28.788,17.98,36.447,30,31,0.5
GAS,83.036,28.986,18.083,35.967,30,32,0.5
GAS,83.225,28.898,17.957,36.37,30,33,0.5
GAS,82.84,28.631,18.346,35.863,30,34,0.5
GAS,83.326,28.965,18.388,35.973,30,35,0.5
GAS,85.109,30.199,18.344,36.566,30,36,0.5
GAS,83.016,28.723,18.282,36.011,30,37,0.5
GAS,85.02,28.917,18.214,37.889,30,38,0.5
GAS,104.594,31.987,20.379,52.228,30,39,0.5
GAS,88.171,34.671,18.274,35.226,30,40,0.5
