Driver,LapTime,Sector1Time,Sector2Time,Sector3Time
VER,84.099,0 days 00:00:29.623000,0 days 00:00:18.375000,0 days 00:00:36.101000
VER,83.115,0 days 00:00:28.793000,0 days 00:00:18.573000,0 days 00:00:35.749000
GAS,84.649,0 days 00:00:29.905000,0 days 00:00:18.241000,0 days 00:00:36.503000
GAS,83.851,0 days 00:00:29.379000,0 days 00:00:18.148000,0 days 00:00:36.324000
GAS,83.7,0 days 00:00:29.050000,0 days 00:00:18.116000,0 days 00:00:36.534000
GAS,84.526,0 days 00:00:29.693000,0 days 00:00:17.983000,0 days 00:00:36.850000
GAS,83.912,0 days 00:00:29.368000,0 days 00:00:18.107000,0 days 00:00:36.437000
GAS,83.445,0 days 00:00:29.068000,0 days 00:00:18.122000,0 days 00:00:36.255000
GAS,83.879,0 days 00:00:29.380000,0 days 00:00:18.109000,0 days 00:00:36.390000
GAS,83.829,0 days 00:00:29.349000,0 days 00:00:18.235000,0 days 00:00:36.245000
GAS,83.856,0 days 00:00:29.318000,0 days 00:00:18.150000,0 days 00:00:36.388000
GAS,85.397,0 days 00:00:29.402000,0 days 00:00:18.252000,0 days 00:00:37.743000
GAS,84.625,0 days 00:00:29.816000,0 days 00:00:18.154000,0 days 00:00:36.655000
GAS,84.049,0 days 00:00:29.379000,0 days 00:00:18.093000,0 days 00:00:36.577000
GAS,84.104,0 days 00:00:29.430000,0 days 00:00:18.090000,0 days 00:00:36.584000
GAS,84.1,0 days 00:00:29.378000,0 days 00:00:18.207000,0 days 00:00:36.515000
GAS,85.367,0 days 00:00:29.942000,0 days 00:00:18.256000,0 days 00:00:37.169000
GAS,117.788,0 days 00:00:30.269000,0 days 00:00:25.888000,0 days 00:01:01.631000
GAS,89.888,0 days 00:00:35.202000,0 days 00:00:18.398000,0 days 00:00:36.288000
GAS,83.922,0 days 00:00:29.141000,0 days 00:00:18.401000,0 days 00:00:36.380000
GAS,83.662,0 days 00:00:29.060000,0 days 00:00:18.369000,0 days 00:00:36.233000
GAS,83.241,0 days 00:00:28.904000,0 days 00:00:18.274000,0 days 00:00:36.063000
GAS,83.045,0 days 00:00:28.793000,0 days 00:00:18.236000,0 days 00:00:36.016000
GAS,82.929,0 days 00:00:28.898000,0 days 00:00:18.198000,0 days 00:00:35.833000
GAS,83.001,0 days 00:00:28.729000,0 days 00:00:18.222000,0 days 00:00:36.050000
GAS,82.933,0 days 00:00:28.803000,0 days 00:00:18.241000,0 days 00:00:35.889000
GAS,83.015,0 days 00:00:28.851000,0 days 00:00:18.346000,0 days 00:00:35.818000
GAS,82.904,0 days 00:00:28.749000,0 days 00:00:18.186000,0 days 00:00:35.969000
GAS,82.674,0 days 00:00:28.974000,0 days 00:00:17.953000,0 days 00:00:35.747000
GAS,82.708,0 days 00:00:28.988000,0 days 00:00:17.968000,0 days 00:00:35.752000
GAS,82.99,0 days 00:00:28.857000,0 days 00:00:17.993000,0 days 00:00:36.140000
GAS,82.727,0 days 00:00:28.855000,0 days 00:00:17.990000,0 days 00:00:35.882000
GAS,83.245,0 days 00:00:28.996000,0 days 00:00:18.019000,0 days 00:00:36.230000
GAS,83.215,0 days 00:00:28.788000,0 days 00:00:17.980000,0 days 00:00:36.447000
GAS,83.036,0 days 00:00:28.986000,0 days 00:00:18.083000,0 days 00:00:35.967000
GAS,83.225,0 days 00:00:28.898000,0 days 00:00:17.957000,0 days 00:00:36.370000
GAS,82.84,0 days 00:00:28.631000,0 days 00:00:18.346000,0 days 00:00:35.863000
GAS,83.326,0 days 00:00:28.965000,0 days 00:00:18.388000,0 days 00:00:35.973000
GAS,85.109,0 days 00:00:30.199000,0 days 00:00:18.344000,0 days 00:00:36.566000
GAS,83.016,0 days 00:00:28.723000,0 days 00:00:18.282000,0 days 00:00:36.011000
GAS,85.02,0 days 00:00:28.917000,0 days 00:00:18.214000,0 days 00:00:37.889000
GAS,104.594,0 days 00:00:31.987000,0 days 00:00:20.379000,0 days 00:00:52.228000
GAS,88.171,0 days 00:00:34.671000,0 days 00:00:18.274000,0 days 00:00:35.226000
GAS,84.419,0 days 00:00:28.467000,0 days 00:00:19.217000,0 days 00:00:36.735000
GAS,81.447,0 days 00:00:28.348000,0 days 00:00:18.045000,0 days 00:00:35.054000
GAS,82.079,0 days 00:00:29.395000,0 days 00:00:17.816000,0 days 00:00:34.868000
GAS,81.22,0 days 00:00:28.209000,0 days 00:00:18.001000,0 days 00:00:35.010000
GAS,81.275,0 days 00:00:28.128000,0 days 00:00:17.982000,0 days 00:00:35.165000
GAS,81.211,0 days 00:00:28.320000,0 days 00:00:17.977000,0 days 00:00:34.914000
GAS,81.34,0 days 00:00:28.468000,0 days 00:00:17.975000,0 days 00:00:34.897000
GAS,81.222,0 days 00:00:28.249000,0 days 00:00:18.088000,0 days 00:00:34.885000
GAS,81.09,0 days 00:00:28.224000,0 days 00:00:18.052000,0 days 00:00:34.814000
GAS,81.161,0 days 00:00:28.228000,0 days 00:00:18.036000,0 days 00:00:34.897000
GAS,81.324,0 days 00:00:28.293000,0 days 00:00:18.046000,0 days 00:00:34.985000
GAS,83.034,0 days 00:00:29.613000,0 days 00:00:18.361000,0 days 00:00:35.060000
GAS,81.427,0 days 00:00:28.115000,0 days 00:00:18.119000,0 days 00:00:35.193000
GAS,86.911,0 days 00:00:28.394000,0 days 00:00:18.123000,0 days 00:00:40.394000
GAS,120.819,0 days 00:00:48.810000,0 days 00:00:34.206000,0 days 00:00:37.803000
PER,83.381,0 days 00:00:29.370000,0 days 00:00:17.903000,0 days 00:00:36.108000
PER,83.165,0 days 00:00:29.005000,0 days 00:00:17.939000,0 days 00:00:36.221000
PER,83.398,0 days 00:00:28.848000,0 days 00:00:18.020000,0 days 00:00:36.530000
PER,83.364,0 days 00:00:28.964000,0 days 00:00:17.747000,0 days 00:00:36.653000
PER,83.024,0 days 00:00:28.808000,0 days 00:00:17.868000,0 days 00:00:36.348000
PER,82.804,0 days 00:00:28.962000,0 days 00:00:17.896000,0 days 00:00:35.946000
PER,83.048,0 days 00:00:28.744000,0 days 00:00:17.746000,0 days 00:00:36.558000
PER,82.97,0 days 00:00:28.758000,0 days 00:00:18.147000,0 days 00:00:36.065000
PER,82.68,0 days 00:00:28.928000,0 days 00:00:18.188000,0 days 00:00:35.564000
PER,82.921,0 days 00:00:29.025000,0 days 00:00:18.117000,0 days 00:00:35.779000
PER,83.704,0 days 00:00:29.511000,0 days 00:00:18.198000,0 days 00:00:35.995000
PER,83.664,0 days 00:00:29.259000,0 days 00:00:18.263000,0 days 00:00:36.142000
PER,98.693,0 days 00:00:29.415000,0 days 00:00:18.259000,0 days 00:00:51.019000
PER,87.909,0 days 00:00:34.380000,0 days 00:00:18.040000,0 days 00:00:35.489000
PER,84.122,0 days 00:00:28.669000,0 days 00:00:17.803000,0 days 00:00:37.650000
PER,103.836,0 days 00:00:29.895000,0 days 00:00:28.248000,0 days 00:00:45.693000
PER,84.269,0 days 00:00:31.212000,0 days 00:00:17.742000,0 days 00:00:35.315000
PER,81.84,0 days 00:00:28.441000,0 days 00:00:17.929000,0 days 00:00:35.470000
PER,81.711,0 days 00:00:28.353000,0 days 00:00:17.751000,0 days 00:00:35.607000
PER,82.051,0 days 00:00:28.506000,0 days 00:00:17.651000,0 days 00:00:35.894000
PER,81.869,0 days 00:00:28.590000,0 days 00:00:17.918000,0 days 00:00:35.361000
PER,81.849,0 days 00:00:28.617000,0 days 00:00:18.014000,0 days 00:00:35.218000
PER,81.527,0 days 00:00:28.583000,0 days 00:00:17.881000,0 days 00:00:35.063000
PER,81.495,0 days 00:00:28.513000,0 days 00:00:17.809000,0 days 00:00:35.173000
PER,82.246,0 days 00:00:28.587000,0 days 00:00:17.932000,0 days 00:00:35.727000
PER,81.557,0 days 00:00:28.521000,0 days 00:00:17.600000,0 days 00:00:35.436000
PER,82.152,0 days 00:00:28.742000,0 days 00:00:18.141000,0 days 00:00:35.269000
PER,82.126,0 days 00:00:28.645000,0 days 00:00:18.042000,0 days 00:00:35.439000
PER,82.18,0 days 00:00:28.599000,0 days 00:00:17.955000,0 days 00:00:35.626000
PER,82.359,0 days 00:00:28.718000,0 days 00:00:18.013000,0 days 00:00:35.628000
PER,82.441,0 days 00:00:28.807000,0 days 00:00:18.016000,0 days 00:00:35.618000
PER,82.566,0 days 00:00:28.869000,0 days 00:00:18.127000,0 days 00:00:35.570000
PER,82.962,0 days 00:00:28.911000,0 days 00:00:18.114000,0 days 00:00:35.937000
PER,99.44,0 days 00:00:31.486000,0 days 00:00:18.229000,0 days 00:00:49.725000
PER,87.672,0 days 00:00:34.252000,0 days 00:00:18.108000,0 days 00:00:35.312000
PER,81.218,0 days 00:00:28.323000,0 days 00:00:17.862000,0 days 00:00:35.033000
PER,81.245,0 days 00:00:28.319000,0 days 00:00:18.045000,0 days 00:00:34.881000
PER,81.448,0 days 00:00:28.423000,0 days 00:00:17.834000,0 days 00:00:35.191000
PER,81.045,0 days 00:00:28.400000,0 days 00:00:17.836000,0 days 00:00:34.809000
PER,80.998,0 days 00:00:28.268000,0 days 00:00:17.817000,0 days 00:00:34.913000
PER,81.35,0 days 00:00:28.442000,0 days 00:00:17.795000,0 days 00:00:35.113000
PER,80.798,0 days 00:00:28.267000,0 days 00:00:17.739000,0 days 00:00:34.792000
PER,80.706,0 days 00:00:28.222000,0 days 00:00:17.702000,0 days 00:00:34.782000
PER,80.769,0 days 00:00:28.262000,0 days 00:00:17.736000,0 days 00:00:34.771000
